PCM-SEM MCMC 진단 리포트
N=86, scenario=medium, elapsed=57.8s
chains=4, warmup=1000, sampling=1000
adapt_delta=0.9, max_treedepth=12

=== 파라미터 요약 ===
                     Mean      MCSE    StdDev       MAD        5%       50%       95%  ESS_bulk  ESS_tail  ESS_bulk/s    R_hat
delta_raw[13,1]    -1.656980  0.023791   0.556404   0.548413    -2.618140    -1.649060    -0.747865    551.965  1147.530     4.69662  1.005420
delta_raw[13,2]    -0.687372  0.024911   0.541196   0.541007    -1.579490    -0.687411     0.192792    472.144   945.851     4.01743  1.010220
delta_raw[13,3]     0.831268  0.024597   0.585808   0.565351    -0.138061     0.835755     1.782030    570.701  1034.560     4.85604  1.007690
delta_raw[13,4]     2.188860  0.023735   0.809746   0.809896     0.909899     2.141820     3.537210   1175.590  2236.930    10.00300  1.001700
delta_raw[14,1]    -1.640930  0.024898   0.576122   0.566102    -2.595730    -1.649350    -0.692219    537.315  1144.340     4.57196  1.005930
delta_raw[14,2]    -0.664777  0.023969   0.540185   0.518312    -1.564970    -0.674483     0.244710    509.107   984.195     4.33194  1.008550
delta_raw[14,3]     0.610247  0.024362   0.577076   0.577833    -0.326578     0.608714     1.551360    557.799  1002.420     4.74626  1.009500
delta_raw[14,4]     1.146910  0.024312   0.677701   0.665533     0.045097     1.146960     2.267740    791.257  1589.840     6.73273  1.004940
delta_raw[15,1]    -1.838040  0.024442   0.554258   0.543986    -2.751240    -1.827970    -0.935063    520.897   960.500     4.43226  1.005850
delta_raw[15,2]    -0.560218  0.024334   0.524676   0.514086    -1.416330    -0.563213     0.297300    468.197   880.888     3.98384  1.008760
delta_raw[15,3]     1.715970  0.024314   0.643830   0.648777     0.673629     1.701940     2.781420    697.614  1554.260     5.93593  1.007130
delta_raw[15,4]     0.911997  0.024731   0.756480   0.741889    -0.342547     0.924313     2.176300    949.133  1524.890     8.07608  1.003110
delta_raw[16,1]    -1.848650  0.026536   0.713925   0.719222    -3.034280    -1.840940    -0.687304    724.183  1435.990     6.16200  1.006190
delta_raw[16,2]    -0.734046  0.027198   0.699631   0.696299    -1.920100    -0.713333     0.405708    663.939  1307.110     5.64939  1.004720
delta_raw[16,3]     0.477681  0.027335   0.728048   0.737163    -0.737215     0.496246     1.643920    713.141  1465.740     6.06804  1.003390
delta_raw[16,4]     2.247910  0.027565   0.886453   0.895258     0.832892     2.246140     3.682090   1030.060  1955.450     8.76467  1.001760
delta_raw[17,1]    -1.211990  0.026781   0.691497   0.712181    -2.348280    -1.197400    -0.083359    669.725  1497.780     5.69862  1.004200
delta_raw[17,2]     0.269735  0.027746   0.730012   0.755994    -0.935889     0.276998     1.461280    694.143  1414.430     5.90640  1.005440
delta_raw[17,3]     0.272734  0.027358   0.774636   0.793321    -1.000020     0.294795     1.539970    801.971  1518.990     6.82389  1.004410
delta_raw[17,4]     0.931611  0.026990   0.816940   0.843740    -0.442669     0.940211     2.238240    919.147  1663.330     7.82093  1.002530
delta_raw[18,1]    -1.169560  0.026874   0.708863   0.711839    -2.355780    -1.156140    -0.031099    696.603  1325.840     5.92733  1.005400
delta_raw[18,2]    -0.849294  0.026710   0.718634   0.704510    -2.037060    -0.849349     0.329526    723.029  1444.020     6.15218  1.005030
delta_raw[18,3]    -0.062734  0.027468   0.724576   0.748206    -1.252990    -0.053857     1.116140    695.292  1397.650     5.91617  1.005430
delta_raw[18,4]     1.826700  0.027715   0.825259   0.857788     0.504309     1.837070     3.181420    892.774  1908.290     7.59653  1.002360
delta_raw[19,1]    -1.309120  0.027370   0.711098   0.704063    -2.506410    -1.288460    -0.172329    675.224  1358.120     5.74542  1.003760
delta_raw[19,2]    -0.536342  0.026853   0.706173   0.713634    -1.702170    -0.522506     0.608604    692.831  1433.200     5.89523  1.005500
delta_raw[19,3]     0.682488  0.026917   0.731082   0.727327    -0.521343     0.683933     1.898460    737.421  1474.110     6.27464  1.006390
delta_raw[19,4]     2.111310  0.028740   0.924159   0.925328     0.610679     2.103400     3.587180   1035.970  2067.950     8.81497  1.001340
delta_raw[20,1]    -0.968074  0.027235   0.716803   0.722761    -2.168430    -0.946815     0.196060    692.295  1515.280     5.89067  1.006690
delta_raw[20,2]    -0.820242  0.027384   0.721136   0.712730    -2.038260    -0.800207     0.324111    689.302  1386.880     5.86520  1.004560
delta_raw[20,3]     0.287695  0.027199   0.729995   0.738027    -0.927509     0.300731     1.468640    721.020  1680.730     6.13509  1.005760
delta_raw[20,4]     1.647780  0.027326   0.823619   0.840881     0.323600     1.638770     3.029990    912.016  1686.200     7.76026  1.003470
delta_raw[21,1]    -1.220380  0.027276   0.701112   0.702416    -2.389050    -1.213050    -0.084437    662.078  1320.400     5.63356  1.005610
delta_raw[21,2]    -0.533976  0.026477   0.705139   0.713158    -1.671760    -0.518729     0.593953    708.875  1377.340     6.03175  1.004830
delta_raw[21,3]     0.859586  0.027782   0.764613   0.766803    -0.404579     0.858517     2.116020    757.666  1603.090     6.44691  1.005000
delta_raw[21,4]     0.809649  0.027072   0.827710   0.797983    -0.602343     0.815673     2.172940    933.457  1624.550     7.94270  1.003410
theta[1,1]          0.107795  0.005383   0.507414   0.489830    -0.713014     0.099139     0.961483   9118.000  2894.760    77.58410  1.001050
theta[1,2]          1.392580  0.003761   0.354721   0.346747     0.835923     1.379790     1.994380   9775.040  2926.470    83.17490  1.002920
theta[1,3]         -0.702995  0.003728   0.396389   0.390443    -1.367510    -0.694159    -0.065634  11973.900  2781.470   101.88400  1.000980
theta[2,1]         -0.149704  0.005635   0.499242   0.504033    -0.941603    -0.168816     0.682131   8166.990  2874.630    69.49210  1.001300
theta[2,2]          0.320414  0.003355   0.334919   0.327884    -0.233277     0.318146     0.861795  10670.300  2636.950    90.79240  1.000610
theta[2,3]         -0.615494  0.004186   0.410061   0.400281    -1.293220    -0.607498     0.047990  10290.200  2537.450    87.55830  1.001450
theta[3,1]          0.299594  0.005527   0.517282   0.516002    -0.544217     0.280072     1.175450   9676.170  3032.330    82.33360  1.002230
theta[3,2]          0.707822  0.003488   0.333927   0.328509     0.167008     0.703661     1.258640   9542.320  2286.620    81.19470  1.000820
theta[3,3]         -0.715925  0.004148   0.405245   0.411885    -1.402700    -0.704097    -0.074339   9831.010  2664.140    83.65110  0.999557
theta[4,1]          1.664740  0.007346   0.650753   0.644467     0.642778     1.636090     2.807730   8475.530  3082.810    72.11750  1.000120
theta[4,2]          0.166974  0.003116   0.332230   0.331518    -0.391185     0.169621     0.713042  12157.900  2659.970   103.45100  1.001060
theta[4,3]          0.940317  0.004266   0.441340   0.446133     0.233327     0.927011     1.687100  11494.300  2788.270    97.80400  1.001670
theta[5,1]          0.048324  0.005237   0.510455   0.491906    -0.773335     0.040312     0.900539   9153.420  3003.470    77.88550  1.000720
theta[5,2]          0.093493  0.003113   0.312564   0.313231    -0.422552     0.094589     0.612804  10329.300  2798.130    87.89130  1.000600
theta[5,3]          0.025944  0.003815   0.401331   0.400125    -0.627667     0.024100     0.687482  11406.600  3138.980    97.05800  1.000220
theta[6,1]         -1.268190  0.005305   0.481100   0.470297    -2.071750    -1.263120    -0.465178   8335.210  2670.400    70.92340  1.001210
theta[6,2]         -1.607420  0.003797   0.373036   0.363796    -2.231720    -1.603070    -0.995033   9991.260  2988.100    85.01460  1.001680
theta[6,3]         -1.895930  0.006038   0.514053   0.486762    -2.789180    -1.870340    -1.089630   8277.180  2697.620    70.42970  0.999986
theta[7,1]          1.178250  0.006356   0.597115   0.584427     0.225862     1.161870     2.175740   9369.050  3058.730    79.72030  1.000030
theta[7,2]          0.642710  0.003432   0.331142   0.338181     0.106381     0.633506     1.195630   9846.230  2687.770    83.78060  0.999596
theta[7,3]         -0.675936  0.004139   0.403287   0.415610    -1.326340    -0.675103    -0.032775   9772.350  2980.090    83.15190  1.000950
theta[8,1]         -0.135248  0.005217   0.497785   0.496616    -0.948127    -0.136498     0.702561   9384.600  2681.730    79.85260  0.999958
theta[8,2]          0.404209  0.003174   0.325003   0.327269    -0.121253     0.402126     0.933433  10731.500  2808.750    91.31340  1.001660
theta[8,3]          0.334809  0.003996   0.401629   0.402094    -0.306834     0.324970     0.998499  10755.400  2580.510    91.51670  1.000170
theta[9,1]         -1.719040  0.005360   0.499314   0.499352    -2.549590    -1.717250    -0.893842   9046.190  3056.310    76.97310  1.002400
theta[9,2]         -2.556490  0.005111   0.480404   0.485657    -3.374400    -2.534740    -1.806360   9326.860  2875.370    79.36130  1.003460
theta[9,3]         -1.764610  0.005664   0.494540   0.502950    -2.576460    -1.746720    -0.993641   8326.560  2964.990    70.84990  1.002600
theta[10,1]        -1.336660  0.005627   0.480408   0.479452    -2.122840    -1.333600    -0.573919   7425.640  2904.870    63.18400  1.000940
theta[10,2]         0.411925  0.003487   0.324819   0.322672    -0.118201     0.407925     0.949521   8995.300  3041.160    76.54010  0.999951
theta[10,3]        -2.065090  0.006450   0.546972   0.547114    -3.019810    -2.038790    -1.214000   7999.280  2673.800    68.06510  1.000740
theta[11,1]        -0.698344  0.004947   0.463308   0.466190    -1.444220    -0.688899     0.051117   9029.280  2885.090    76.82920  0.999873
theta[11,2]        -1.229790  0.003733   0.352328   0.351639    -1.799650    -1.226880    -0.645222   9063.770  2892.850    77.12270  1.000990
theta[11,3]        -0.693444  0.003860   0.403454   0.409984    -1.369150    -0.692358    -0.050417  11588.800  2816.690    98.60790  1.003110
