PCM-SEM MCMC 진단 리포트
N=200, scenario=medium, elapsed=189.7s
chains=4, warmup=1000, sampling=1000
adapt_delta=0.9, max_treedepth=12

=== 파라미터 요약 ===
                     Mean      MCSE    StdDev       MAD        5%       50%       95%  ESS_bulk  ESS_tail  ESS_bulk/s     R_hat
delta_raw[13,4]     1.306720  0.035320   0.535776   0.524633     0.409531     1.319220     2.186650    239.390   404.466    0.699472  1.018580
delta_raw[14,1]    -1.163970  0.035808   0.503197   0.497507    -2.015960    -1.153630    -0.347099    205.669   336.305    0.600944  1.021540
delta_raw[14,2]    -0.506393  0.035493   0.495969   0.488553    -1.315270    -0.498281     0.298368    204.236   273.108    0.596755  1.021190
delta_raw[14,3]     1.042900  0.035530   0.512537   0.502621     0.168932     1.047010     1.842860    216.516   377.154    0.632637  1.021290
delta_raw[14,4]     1.275730  0.034685   0.552675   0.538592     0.365992     1.273430     2.172670    263.942   549.985    0.771211  1.016120
delta_raw[15,1]    -1.718680  0.035548   0.511244   0.517680    -2.565190    -1.707190    -0.910448    217.561   364.489    0.635691  1.017770
delta_raw[15,2]    -0.480621  0.035060   0.496956   0.486201    -1.315140    -0.472250     0.333076    206.916   314.660    0.604587  1.021980
delta_raw[15,3]     0.261419  0.034833   0.502101   0.488279    -0.585587     0.274195     1.076880    215.237   340.841    0.628899  1.018880
delta_raw[15,4]     1.518150  0.034429   0.537014   0.527583     0.628700     1.518790     2.405340    249.792   412.254    0.729866  1.017030
delta_raw[16,1]    -1.601640  0.039681   0.659670   0.654944    -2.636580    -1.616980    -0.490061    271.437   673.677    0.793109  1.015360
delta_raw[16,2]    -0.808551  0.038696   0.648698   0.641590    -1.835860    -0.823045     0.305680    275.210   555.757    0.804133  1.016180
delta_raw[16,3]     0.437799  0.038319   0.659382   0.656505    -0.602507     0.424914     1.510190    294.712   525.648    0.861116  1.013320
delta_raw[16,4]     1.439500  0.038262   0.707125   0.703418     0.308025     1.431760     2.620920    332.156   657.480    0.970524  1.013020
delta_raw[17,1]    -1.517570  0.039167   0.650075   0.643251    -2.536350    -1.531300    -0.454843    270.850   586.571    0.791394  1.015550
delta_raw[17,2]    -0.107135  0.039191   0.661222   0.647774    -1.158680    -0.119522     1.014420    274.807   544.555    0.802957  1.016890
delta_raw[17,3]     0.449932  0.038800   0.678316   0.669603    -0.646176     0.422087     1.577620    300.350   606.609    0.877589  1.014220
delta_raw[17,4]     1.526880  0.039743   0.720798   0.716728     0.371856     1.522000     2.748770    318.882   646.160    0.931739  1.013090
delta_raw[18,1]    -1.329150  0.038657   0.652307   0.649699    -2.348040    -1.358460    -0.237527    279.638   541.358    0.817073  1.015340
delta_raw[18,2]    -0.253533  0.039249   0.663034   0.641208    -1.323140    -0.264940     0.857798    278.439   492.179    0.813569  1.015440
delta_raw[18,3]     0.021505  0.038807   0.665889   0.650756    -1.030440     0.000987     1.121970    291.058   597.838    0.850439  1.014880
delta_raw[18,4]     1.420190  0.038463   0.705059   0.714837     0.294948     1.407090     2.589650    327.631   675.271    0.957302  1.015350
delta_raw[19,1]    -1.214290  0.039249   0.659383   0.653803    -2.240690    -1.229640    -0.110101    274.592   616.794    0.802327  1.016950
delta_raw[19,2]    -0.770844  0.038996   0.653924   0.640604    -1.787820    -0.799708     0.332202    274.489   526.789    0.802028  1.016280
delta_raw[19,3]     0.512404  0.038898   0.664523   0.657389    -0.524208     0.510983     1.631400    286.082   602.929    0.835902  1.014410
delta_raw[19,4]     1.493650  0.039457   0.718796   0.707872     0.351069     1.498730     2.722140    324.141   656.104    0.947104  1.014910
delta_raw[20,1]    -0.987475  0.038289   0.648812   0.636621    -2.008530    -1.009350     0.099709    280.706   532.455    0.820194  1.014580
delta_raw[20,2]    -0.539227  0.039319   0.663780   0.651482    -1.579650    -0.563999     0.583003    280.022   571.325    0.818194  1.015070
delta_raw[20,3]     0.780451  0.039133   0.677739   0.678941    -0.300159     0.756902     1.906290    294.469   556.342    0.860407  1.014350
delta_raw[20,4]     1.183380  0.039778   0.718122   0.720346     0.023076     1.171090     2.385320    312.480   639.536    0.913033  1.016210
delta_raw[21,1]    -1.582590  0.039119   0.652612   0.640347    -2.609200    -1.611470    -0.484947    273.051   484.237    0.797825  1.016350
delta_raw[21,2]    -0.422201  0.038391   0.652730   0.647623    -1.423230    -0.445317     0.672011    282.749   591.253    0.826162  1.015640
delta_raw[21,3]     0.752068  0.038196   0.664642   0.657703    -0.284063     0.729646     1.866010    293.203   631.519    0.856707  1.013210
delta_raw[21,4]     1.862200  0.039802   0.760890   0.746507     0.640381     1.845780     3.131690    356.551   801.925    1.041800  1.012140
theta[1,1]         -0.351798  0.005076   0.475852   0.475514    -1.120130    -0.359117     0.420836   8920.790  2788.660   26.065600  1.004930
theta[1,2]         -1.295600  0.003870   0.347521   0.343631    -1.879970    -1.285190    -0.749596   8285.080  2803.480   24.208100  1.001760
theta[1,3]         -1.626860  0.005179   0.470618   0.477492    -2.420640    -1.610600    -0.868290   8637.320  2747.300   25.237300  1.000310
theta[2,1]         -0.838977  0.005269   0.449018   0.440478    -1.578170    -0.833460    -0.095393   7524.270  3109.480   21.985100  0.999710
theta[2,2]         -0.424536  0.003209   0.312576   0.307289    -0.934613    -0.423795     0.090337   9702.930  2767.080   28.350900  1.002330
theta[2,3]          0.307312  0.004249   0.403172   0.399428    -0.355284     0.301595     0.984442   9364.640  2867.060   27.362500  0.999668
theta[3,1]          0.997622  0.006838   0.552264   0.549064     0.123073     0.979138     1.933060   6812.610  2969.400   19.905700  1.001690
theta[3,2]         -0.476460  0.003133   0.298872   0.300909    -0.955976    -0.474957     0.011024   9433.260  3012.190   27.563000  0.999748
theta[3,3]         -0.935969  0.004807   0.425445   0.435495    -1.655270    -0.930929    -0.249913   7950.920  3129.680   23.231700  1.004140
theta[4,1]          0.912557  0.006089   0.522564   0.507419     0.081019     0.898706     1.805300   7702.940  3207.130   22.507200  1.001180
theta[4,2]          0.846258  0.003486   0.314334   0.318843     0.336564     0.846661     1.369900   8431.310  2844.610   24.635400  1.000560
theta[4,3]         -1.199990  0.004594   0.440183   0.418427    -1.976780    -1.189070    -0.507756   9704.680  2772.760   28.356000  1.002670
theta[5,1]         -1.184540  0.006060   0.476836   0.465449    -1.977990    -1.174840    -0.389856   6305.590  2190.560   18.424300  1.002030
theta[5,2]         -1.248270  0.003564   0.346171   0.339901    -1.835930    -1.237980    -0.693282  10004.700  2711.540   29.232700  1.002970
theta[5,3]         -1.892850  0.005738   0.516029   0.526659    -2.767010    -1.870280    -1.081800   8710.390  2855.170   25.450800  1.001390
theta[6,1]         -0.635134  0.004979   0.461265   0.455213    -1.407810    -0.624711     0.108085   8781.910  3009.120   25.659800  1.001720
theta[6,2]         -0.183745  0.003293   0.306816   0.306015    -0.678292    -0.189146     0.325069   8794.610  2505.210   25.696900  1.004070
theta[6,3]         -0.942319  0.004962   0.409786   0.399077    -1.625710    -0.936038    -0.283167   7250.080  2524.990   21.184000  1.000540
theta[7,1]         -0.120282  0.005678   0.474595   0.461014    -0.881576    -0.126703     0.652741   7214.760  2509.090   21.080800  1.002250
theta[7,2]          0.428844  0.003319   0.314336   0.306489    -0.091801     0.427728     0.954242   8673.800  2596.540   25.343900  1.001900
theta[7,3]         -0.236367  0.003996   0.374684   0.374566    -0.854473    -0.237056     0.366912   8941.270  2996.500   26.125400  1.000970
theta[8,1]          1.027000  0.006138   0.553360   0.545857     0.147913     1.015260     1.978420   8652.190  3030.800   25.280800  1.000310
theta[8,2]          1.442730  0.004027   0.358087   0.353656     0.866155     1.439150     2.056170   8271.840  2944.260   24.169400  1.000960
theta[8,3]         -0.787029  0.004783   0.413278   0.418601    -1.484740    -0.777361    -0.124391   7995.100  2876.950   23.360800  1.001550
theta[9,1]          0.523534  0.006094   0.523480   0.506375    -0.316943     0.508669     1.414680   7750.990  2799.820   22.647500  1.003630
theta[9,2]         -1.652030  0.004251   0.376978   0.373811    -2.290400    -1.635820    -1.038340   8408.800  2420.320   24.569600  0.999832
theta[9,3]         -2.185580  0.006283   0.562037   0.549144    -3.156440    -2.163990    -1.307580   8735.720  2247.150   25.524800  1.000960
theta[10,1]        -0.018681  0.005641   0.485374   0.482658    -0.797213    -0.031893     0.787826   7813.240  2600.190   22.829500  1.000950
theta[10,2]        -2.008030  0.004552   0.401713   0.404276    -2.698280    -1.990000    -1.369120   8194.240  2936.270   23.942700  1.003210
theta[10,3]        -2.587560  0.007190   0.622397   0.621086    -3.675480    -2.550530    -1.605770   7999.810  3254.140   23.374600  1.000320
theta[11,1]         0.358426  0.005988   0.515922   0.533716    -0.466836     0.350704     1.226370   7586.550  2959.360   22.167100  1.003150
theta[11,2]        -1.044310  0.003595   0.328471   0.334506    -1.602330    -1.032020    -0.520976   8714.440  2782.610   25.462700  1.000450
theta[11,3]        -1.832880  0.006202   0.511644   0.498539    -2.696220    -1.811060    -1.029530   7637.320  2966.410   22.315400  1.002970
theta[12,1]        -0.260636  0.005490   0.465409   0.460235    -1.034490    -0.265376     0.514288   7332.840  2710.250   21.425800  1.000480
theta[12,2]         1.025790  0.003611   0.334997   0.334087     0.492278     1.018530     1.576000   9084.120  2728.880   26.542800  1.001420
theta[12,3]        -0.196920  0.004528   0.397518   0.405036    -0.859277    -0.201299     0.447070   7857.450  3017.470   22.958600  1.001230
theta[13,1]         1.183880  0.006515   0.566865   0.556404     0.265830     1.161210     2.143960   8047.350  3108.320   23.513500  1.001740
theta[13,2]         0.350002  0.003151   0.312470   0.302833    -0.166269     0.350740     0.868924   9947.390  2853.810   29.065200  1.001600
theta[13,3]         0.714593  0.004375   0.422531   0.413416     0.018431     0.703873     1.437460   9630.950  2903.580   28.140600  1.000780
theta[14,1]         0.041942  0.005214   0.502714   0.511244    -0.782300     0.037759     0.846918   9440.740  3055.550   27.584800  1.000740
theta[14,2]        -1.569750  0.003909   0.357867   0.351769    -2.180590    -1.554350    -0.994474   9160.010  2363.000   26.764600  1.001550
