lp__,b1,b2,g1,gamma_M,gamma_Y,alpha_M,alpha_Y,indirect_effect,total_effect,prop_mediated
-577.06477,0.77470538,0.46793141,0.27793142,0.31830518,0.15571102,-6.3158764,-2.7235451,0.36250898,0.6404404,0.56603078
-570.49255,0.67460212,0.55773736,0.30595921,0.11115974,0.045011439,-6.1435336,-1.8962913,0.37625081,0.68221002,0.55151757
-572.58642,0.73082333,0.63817212,0.19125253,0.31877956,-0.33739451,-5.420863,-1.9963501,0.46639107,0.6576436,0.70918514
-583.66596,0.54524214,0.6788152,0.13376574,-0.08399417,0.30074023,-6.0434632,-2.5949332,0.37011865,0.5038844,0.73453089
-591.90363,0.6566779,0.81905134,-0.32378075,0.36962833,0.25820386,-5.7352957,-2.4500234,0.53785291,0.21407217,2.5124841
-590.44305,0.83322648,0.74215536,0.77030191,-0.032572909,0.038593627,-5.5551408,-1.2278757,0.6183835,1.3886854,0.44530136
-579.99869,0.80531039,0.7431496,0.12188769,0.42028097,0.12901199,-5.8920095,-1.9553836,0.59846609,0.72035378,0.83079468
-564.60043,0.78289315,0.75230286,0.12890078,-0.11910016,-0.04763714,-5.8391573,-1.899058,0.58897276,0.71787354,0.82044082
-567.32917,0.75388399,0.79748561,0.097858247,-0.15950087,-0.046294278,-5.795843,-1.7810922,0.60121163,0.69906987,0.8600165
-562.66721,0.59158289,0.85972224,0.18673758,-0.11406473,-0.013753743,-5.9933892,-1.2877205,0.50859697,0.69533454,0.73144211
-570.93602,0.56415754,0.76875952,0.30782078,0.036119219,-0.04106561,-5.9577727,-1.6827734,0.43370148,0.74152226,0.58487992
-571.42298,0.69477005,0.81859299,0.18597745,0.23357003,0.4508712,-6.2184785,-1.455771,0.56873389,0.75471134,0.75357804
-560.19748,0.56780544,0.74049126,0.34953239,0.26260882,-0.2435689,-5.8126905,-2.5476304,0.42045497,0.76998735,0.54605438
-566.15728,0.77315846,0.93571636,0.30505325,-0.090164808,0.030616401,-5.1640737,-1.557027,0.72345702,1.0285103,0.70340282
-582.64292,0.74169813,0.97415681,0.34335546,0.60179438,0.047016355,-5.2907476,-1.7664526,0.72253029,1.0658857,0.67786842
-574.54354,0.80932981,0.72779116,0.45286169,-0.19969791,0.1651658,-5.2978415,-1.5937488,0.58902309,1.0418848,0.56534379
-566.22705,0.84769816,0.74610676,0.35152703,0.21143922,0.30700339,-5.4948698,-1.6087714,0.63247332,0.98400035,0.64275721
-566.19564,0.93927949,0.5866813,0.03208586,0.19149435,-0.096824731,-5.8839667,-2.8097011,0.55105771,0.58314357,0.94497777
-569.12481,0.79868229,0.57477029,0.46524676,0.53070058,0.15047976,-5.8204323,-2.2379191,0.45905886,0.92430562,0.49665267
-567.50256,0.75118057,1.0284862,-0.17222173,0.070218413,0.032708049,-6.0378875,-0.099939374,0.77257887,0.60035714,1.2868655
-575.48719,0.68950649,0.85452826,0.092176905,0.091911456,0.13278338,-6.3213095,-1.0469285,0.58920279,0.68137969,0.86472021
-589.93991,0.62038604,0.82971069,0.35990178,0.24105634,0.16644546,-5.9625328,-2.4474288,0.51474093,0.87464271,0.58851566
-573.77379,0.72391334,0.98655137,0.18219436,0.010733798,-0.2371551,-5.9796537,-1.8473981,0.7141777,0.89637207,0.79674248
-592.52972,0.48314017,0.85753015,0.27474824,0.18120453,-0.34133548,-6.4920955,-2.4567657,0.41430726,0.68905549,0.60126835
