N,scenario,beta1,beta2,gamma1,b1_comp,b1_comp_lo,b1_comp_hi,b2_comp,b2_comp_lo,b2_comp_hi,g1_comp,g1_comp_lo,g1_comp_hi,ind_comp,ind_comp_lo,ind_comp_hi,tot_comp,b1_oracle,b1_oracle_lo,b1_oracle_hi,b2_oracle,b2_oracle_lo,b2_oracle_hi,g1_oracle,g1_oracle_lo,g1_oracle_hi,ind_oracle,ind_oracle_lo,ind_oracle_hi,tot_oracle,b1_comp_cov,b1_comp_sig,b1_oracle_cov,b1_oracle_sig,b2_comp_cov,b2_comp_sig,b2_oracle_cov,b2_oracle_sig,g1_comp_cov,g1_comp_sig,g1_oracle_cov,g1_oracle_sig,ind_comp_cov,ind_comp_sig,ind_oracle_cov,ind_oracle_sig
50,small,0.3,0.3,0.0,0.18848686929924033,-0.07620939148586356,0.4531831300843442,0.3993989621090517,0.15628757297421786,0.6425103512438854,-0.17834299376741747,-0.40804474812473374,0.0513587605898988,0.07528145996930106,-0.039941668286998674,0.1905045882256008,-0.1030615337981164,0.29474338338801886,-0.025427720524711983,0.6149144873007497,0.38046805357152536,0.14356204413050075,0.6173740630125499,-0.14583185349230854,-0.4201752628057693,0.1285115558211522,0.1121404413807254,-0.02826825253208204,0.25254913529353284,-0.033691412111583136,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.4482475928657774,0.17002372125724058,0.7264714644743142,0.30493128305057926,0.012515869389414402,0.5973466967117441,-0.08112574064591627,-0.39443072332000767,0.23217924202817514,0.1366847136168952,-0.019450514216505427,0.2928199414502958,0.05555897297097892,0.49895651270417574,0.22016804286849284,0.7777449825398586,0.27455864675418346,-0.0006179435054852189,0.5497352370138522,-0.08896621922359642,-0.39038931813617156,0.2124568796889787,0.13699282491724504,-0.020203095271047328,0.2941887451055374,0.048026605693648625,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.24022264019670728,-0.05286841204206241,0.533313692435477,0.2450157056326554,-0.005068368358257358,0.49509977962356816,-0.20622576839495466,-0.46954876151604025,0.057097224726130935,0.058858319696735724,-0.03476891510000126,0.1524855544934727,-0.14736744869821894,0.18344283104346107,-0.12689811156788947,0.49378377365481163,0.3600099222316736,0.1285735454152846,0.5914462990480627,-0.29479662892244796,-0.5495841092599805,-0.040009148584915444,0.06604123933791446,-0.053479113714247545,0.18556159239007647,-0.2287553895845335,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0
50,small,0.3,0.3,0.0,0.26339407231126466,-0.062109123047906445,0.5888972676704358,0.09698672924544915,-0.18567150628511397,0.3796449647760123,0.15656491750269197,-0.1737522465060935,0.48688208151147744,0.025545729576108882,-0.055321508671513184,0.10641296782373096,0.18211064707880084,0.2811353621714058,-0.1009622664949319,0.6632329908377435,0.3255423216258342,0.03891959686729868,0.6121650463843697,0.15760154570714618,-0.23385152841217882,0.5490546198264712,0.09152145849239916,-0.056686881954775156,0.23972979893957347,0.24912300419954536,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.13597587246876233,-0.12429431649116926,0.3962460614286939,0.2957087944286494,0.005201636151514644,0.5862159527057842,-0.04536987216693866,-0.31277228014637515,0.22203253581249782,0.04020926131912149,-0.04630022239472688,0.12671874503296987,-0.005160610847817174,0.2802476031676311,0.03366005108785439,0.5268351552474078,0.18606220867397225,-0.10176858916924239,0.4738930065171869,0.111845172336253,-0.14918765094738312,0.37287799561988916,0.05214348802095634,-0.040655731031542026,0.14494270707345472,0.16398866035720935,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.053258649645732944,-0.19480795145774493,0.3013252507492108,0.21260363615646138,-0.11277608026011665,0.5379833525730394,0.008430356561635932,-0.2744274725945428,0.2912881857178147,0.011322982571465858,-0.044190953299251774,0.0668369184421835,0.019753339133101788,0.26644743234202284,-0.011005398486240436,0.5439002631702861,0.20395458628102056,-0.0775009294449395,0.48541010200698065,0.033901195022854394,-0.2493507243731355,0.31715311441884425,0.054343175828957486,-0.03960437077364765,0.14829072243156263,0.08824437085181189,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
50,small,0.3,0.3,0.0,0.11955260877451149,-0.18361264100874872,0.42271785855777166,0.25975069574932075,-0.05292567320776159,0.5724270647064031,0.13284770062256257,-0.20081684459443222,0.46651224583955736,0.03105387330782571,-0.0561155613643262,0.11822330797997761,0.1639015739303883,0.16081776404589077,-0.11271362057273093,0.43434914866451246,0.2684498046830324,-0.05955780893071949,0.5964574182967843,0.17540797510195638,-0.14281679818110038,0.49363274838501314,0.04317149734768137,-0.04724082612520783,0.13358382082057058,0.21857947244963777,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.1960285875023462,-0.04696639125005225,0.43902356625474465,0.5874357610492744,0.27123398125559706,0.9036375408429518,-0.036207504241502875,-0.31201657856675996,0.2396015700837542,0.11515420248685503,-0.04046688113200324,0.2707752861057133,0.07894669824535215,0.1820451643563537,-0.1393479608661713,0.5034382895788787,0.4509789451553387,0.1614516009323127,0.7405062893783647,-0.021614196003400685,-0.35133026751096913,0.30810187550416773,0.08209853619205866,-0.0721288326587546,0.23632590504287193,0.060484340188657976,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,-0.018521117852058323,-0.28263176028900155,0.2455895245848849,0.5546937875034396,0.20779257003885093,0.9015950049680281,-0.12069358212852777,-0.44122591840878694,0.1998387541517314,-0.010273549010155801,-0.15691490282219267,0.13636780480188104,-0.13096713113868358,0.1406747498282542,-0.21195680848088053,0.49330630813738896,0.6233842154040602,0.31006764055295805,0.9367007902551623,-0.16893523347038325,-0.5578942123141548,0.22002374537338837,0.0876944185488487,-0.13650566508414314,0.3118945021818405,-0.08124081492153455,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.10898863959078224,-0.1962034484704978,0.4141807276520623,0.3493586558258497,0.06769852594945841,0.6310187857022409,-0.29868679346858684,-0.600920786080896,0.0035471991437223127,0.03807612462772367,-0.07287654945471056,0.1490287987101579,-0.26061066884086315,0.42203771544736024,0.18710721400481806,0.6569682168899025,0.24770983257075788,-0.056651193878657385,0.5520708590201732,-0.045376701758696625,-0.32653871164895293,0.23578530813155968,0.10454289183201076,-0.03647655406986128,0.2455623377338828,0.05916619007331414,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0
